,case_number,year,type,country,activity,age,species_,injury,mes,deceso,genero
1399,1953.08.00,1953,Invalid,mexico,Free diving,19,Invalid,No injury,Aug,,M
1400,1953.07.26,1953,Unprovoked,usa,Spearfishing,15,3 m [10'] shark seen in vicinity,"FATAL, thigh bitten",Jul,Y,M
1401,1953.02.15,1953,Unprovoked,australia,Spearfishing,25,Wobbegong shark,"Shark tore off face mask, divers face, nose & chin lacerated",Feb,N,M
1402,1952.12.21,1952,Unprovoked,australia,"Fishing, setting nets",25,2.4 m [8'] shark,Bitten on thigh and buttocks,Dec,N,M
1403,1952.12.07,1952,Unprovoked,usa,Body surfing & treading water,17,"White shark,4.6 m [15'] ","FATAL, leg lacerated  ",Dec,Y,M
1404,1951.12.06,1951,Unprovoked,australia,Treading water,21,2.4 m [8']  shark,FATAL,Dec,Y,M
1405,1951.11.29,1951,Unprovoked,south africa,Swimming,23,"White shark, 1.8 m [6'] ",Thigh bruised & abraded,Nov,N,M
1406,1951.11.28.a,1951,Unprovoked,south africa,Treading water,24,"White shark, 2.4 m [8'] ","Leg severed below knee, defense wounds on hand",Nov,N,M
1407,1951.03.26,1951,Provoked,australia,Fell off surf ski,23,"Wobbegong shark, 4'",Minor laceration to chest when he grabbed the shark by its tail PROVOKED INCIDENT,Mar,N,M
1408,1951.02.19,1951,Unprovoked,south africa,Body surfing,31,136-kg [300-lb] shark,"Leg bitten, defense wounds on hands",Feb,N,M
1409,1950.11.25,1950,Unprovoked,australia,Body surfing,21,"White shark, 3m, seen in area and hooked 3 days later",Part of buttocks & fingers severed,Nov,N,M
1410,1950.10.08,1950,Unprovoked,usa,Body surfing / treading water,31,White shark,Right leg lacerated,Oct,N,M
1411,1950.10.04,1950,Unprovoked,australia,Fishing,25,4' shark,Lacerations to right thumb and knee,Oct,N,M
1412,1950.08.06,1950,Provoked,el salvador,Jerked overboard while pole fishing for tuna,27,"1,100-lb shark",Left thigh bitten by hooked shark PROVOKED INCIDENT,Aug,N,M
1413,1950.02.11,1950,Unprovoked,south africa,Body surfing,14,"White shark, 3.7 m [12']  according to witnesses","FATAL, body not recovered ",Feb,Y,M
1414,1950.00.00.i,1950,Unprovoked,indonesia,Bending over,7 or 8,"Tiger shark, 3.7 m to 4.3 m  [12' to 14']",FATAL,,Y,M
1415,1949.11.20,1949,Unprovoked,australia,Free diving or wading back to shore,36,6' shark,Left arm bitten ,Nov,N,M
1416,1949.04.17,1949,Unprovoked,australia,Bathing in water 0.9 m deep,13,"3.3 m [10'9""] shark","FATAL, left leg severed",Apr,Y,M
1417,1949.01.23,1949,Unprovoked,australia,Lifesaving exhibition,20,"White shark, 3.6 m [11'9""] ",FATAL,Jan,Y,M
1418,1949.01.14,1949,Invalid,australia,Surfing,32,Invalid,"No injury, chased by 3 sharks",Jan,,M
1419,1948.09.22,1948,Unprovoked,greece,Swimming,17,Said to be 6.4 m [21'] shark,FATAL,Sep,Y,M
1420,1948.00.00.d,1948,Provoked,usa,Underwater photography,48,Nurse shark,Grabbed shark by the tail & it bit him PROVOKED INCIDENT,,N,M
1421,1947.12.21,1947,Unprovoked,australia,Fishing,9,Grey nurse shark,Leg gashed,Dec,N,M
1422,1947.08.04,1947,Unprovoked,usa,Swimming,20,Possibly C. leucas,"FATAL, calf bitten, leg surgically amputated  ",Aug,Y,M
1423,1947.04.20,1947,Unprovoked,south africa,Treading water,21,"1.5 m, 45-kg shark",Ankle & shin lacerated,Apr,N,M
1424,1947.03.09,1947,Unprovoked,south africa,Treading water,22,"Blacktip shark, 2 m [6.75'] ",Lacerations on buttock  &  right foot ,Mar,N,M
1425,1947.01.05,1947,Unprovoked,south africa,Treading water,18,>1.6 m shark,Flexed left leg lacerated,Jan,N,M
1426,1946.08.18,1946,Unprovoked,australia,Swimming after a tennis ball,30,4.3 m [14'] shark,"FATAL, body not recovered",Aug,Y,M
1427,1946.02.10.b,1946,Unprovoked,australia,Standing,18,"White shark, 4.2 m [13'9""] ","Leg bitten, surgically amputated",Feb,N,M
1428,1946.01.07,1946,Unprovoked,south africa,Jumping in swells,18,1.5 m [5'] shark,Foot bitten,Jan,N,M
1429,1945.03.06,1945,Unprovoked,south africa,Walking,37,Thought to involve a Zambesi shark,"Right leg bitten knee to foot, surgically amputated",Mar,N,M
1430,1945.00.00.a,1945,Unprovoked,iraq,Swimming,15,Bull shark,Left foot bitten,,N,M
1431,1944.07.22,1944,Unprovoked,south africa,Swimming,17,"White shark, according to witnesses","FATAL, body not recovered",Jul,Y,M
