,case_number,year,type,country,activity,age,species_,injury,mes,deceso,genero
1304,1961.12.28.c,1961,Unprovoked,australia,Standing,18,3 m [10'] shark,"FATAL, right arm severed at shoulder, left hand severed, right thigh bitten & surgically amputated.  Died  day after the attack",Dec,Y,F
1305,1961.12.28.b,1961,Unprovoked,australia,Standing,24,3 m [10'] shark,"Hand bitten, surgically amputated",Dec,N,M
1306,1961.12.28.a,1961,Unprovoked,south africa,Treading water,18,Zambesi shark,Lower right leg & ankle bitten,Dec,N,M
1307,1961.12.27,1961,Provoked,australia,Spearfishing,23,"Grey nurse shark, 2.4 m [8'] ","No injury, Parker shot the shark when it came close to his nephew, Bill Bradbury (14), then the shark bent his speargun PROVOKED INCIDENT",Dec,N,M
1308,1961.12.18.a,1961,Unprovoked,australia,"Surfing, pushing board ashore",22,Next morning a 3 m [10'] shark was caught that had Andrews' leg in its gut,"FATAL, right wrist and hand bitten, left leg severed above knee ",Dec,Y,M
1309,1961.12.13,1961,Unprovoked,australia,Swimming with other crew near wharf,17,1.8 m [6'] shark,Right thigh and leg lacerated,Dec,N,M
1310,1961.09.24.b,1961,Unprovoked,croatia,Swimming,19,White shark,"FATAL, hand severed & legs bitten  ",Sep,Y,M
1311,1961.08.20,1961,Unprovoked,usa,Swimming,16,"White shark, 4 m [13'] ","Foot, leg  & groin lacerated",Aug,N,M
1312,1961.08.16,1961,Unprovoked,usa,Wading,19,White shark,"Right arm bitten. Left leg bitten, surgically amputated ",Aug,N,M
1313,1961.08.02,1961,Unprovoked,usa,"Net fishing, picking catch from the net",38,2.4 m [8'] shark,Hand bitten,Aug,N,M
1314,1961.07.29,1961,Provoked,usa,Spearfishing,57,"43"" shark",Puncture wound on right shin & fingers lacerated by speared shark PROVOKED INCIDENT,Jul,N,M
1315,1961.07.00.b,1961,Unprovoked,italy,Spearfishing,21,"White shark, 4.5 m ",Foot bitten,Jul,N,M
1316,1961.05.21,1961,Unprovoked,usa,Free diving for abalone,20,White shark,"No injury, wetsuit bitten",May,N,M
1317,1961.05.15,1961,Unprovoked,usa,Walking in chest-deep water,52,"Hammerhead shark, 500-llb ",Middle finger of left hand & right forearm lacerated,May,N,M
1318,1961.04.30,1961,Invalid,usa,Splashing ,10,Shark involvement not confirmed,Abdomen abraded,Apr,,M
1319,1961.04.21,1961,Unprovoked,mozambique,Swimming,37,Zambesi shark,"Multiple injuries to both hands, left leg & foot",Apr,N,M
1320,1961.04.14,1961,Unprovoked,australia,"Checking fish traps, fell into the water",40," ""gummy"" shark (Rhizoprionodon or Loxodon) 1.2 m [4']",Tiny cuts & bruises on neck  ,Apr,N,M
1321,1961.04.09,1961,Unprovoked,mozambique,"Swimming, using bundles of sticks as raft",38,Zambesi shark,"FATAL, extensive abdominal wounds, died 4 days later  ",Apr,Y,M
1322,1961.03.18,1961,Unprovoked,australia,Swimming,24,3 m [10'] shark,"Abdomen & arm bitten. Shark, holding him by the arm, leapt 4' to 5' above the surface",Mar,N,M
1323,1961.03.12,1961,Unprovoked,australia,Spearfishing,21,"White shark, 3.7 m [12'] ",Left leg bitten  & left forearm lacerated,Mar,N,M
1324,1961.03.09,1961,Unprovoked,north pacific ocean,Free diving,33,"Grey reef shark, 1.8 m [6'] grey reef shark, identified by Dr. L.P. L. Schultz based on photographs; identified as C. melanopterus by Stewart",Right elbow bitten,Mar,N,M
1325,1961.02.12,1961,Unprovoked,south africa,"Spearfishing, shark grabbed his white t-shirt and towed him ",27,1.5 m [5'] shark,Torso bruised & abraded ,Feb,N,M
1326,1961.02.01.b,1961,Unprovoked,south africa,Swimming,14,"2.1 m [7'], 90-kg shark","FATAL, multiple injuries to both legs, feet & left arm  ",Feb,Y,M
1327,1961.01.22,1961,Unprovoked,south africa,Swimming,15,White shark,Left thigh bitten ,Jan,N,M
1328,1961.01.15,1961,Provoked,australia,Collecting aquarium specimens,27,"Wobbegong shark, 1.5 m [5'] ",Right calf  bitten by lassoed shark on deck of surf ski PROVOKED INCIDENT,Jan,N,M
1329,1961.01.06.c,1961,Unprovoked,south africa,Standing,13,"White shark, based on bite pattern","Right foot, leg and hand bitten",Jan,N,M
1330,1960.12.24,1960,Unprovoked,south africa,Swimming,25,"White shark, 3 m [10'], tooth fragment from wounds identified as that of a white shark","FATAL, legs severed ",Dec,Y,M
1331,1960.12.20,1960,Unprovoked,australia,"Fishing, when line became snagged on rock & he dived into water to free it ",33,"Grey nurse shark, 1m ",Left thigh lacerated,Dec,,M
1332,1960.11.27,1960,Unprovoked,australia,Swimming,41,3' shark,Right shoulder lacerated,Nov,,M
1333,1960.08.10,1960,Provoked,usa,Holding shark on leader & dangling it above the water,15,"Lemon shark, 1164 mm, immature male, identified by  V.G. Springer",Right hand bitten by hooked shark PROVOKED INCIDENT,Aug,N,M
1334,1960.07.03,1960,Provoked,usa,"Fishing, tossing netted shark onboard",41,"""sand shark""",Right arm bitten  PROVOKED INCIDENT,Jul,N,M
1335,1960.06.24,1960,Unprovoked,usa,Scuba diving,39,"Mako shark, 1.8 m to 2.1 m [6' to 7']  with hook & wire leader caught in mouth","No injury, shark harrassed diver & attempted to bite his swimfins",Jun,N,M
1336,1960.05.24,1960,Unprovoked,bermuda,Free diving but treading water at surface,25,"Dusky shark, 2.7 m [9'] dusky shark C. obscurus identified by S. Springer on tooth recovered",Foot bitten,May,N,M
1337,1960.05.19,1960,Unprovoked,usa,Swimming ,16,"White shark, 4 m to 5 m [13' to 16.5'] ","Left leg bitten, surgically amputated below the knee",May,N,F
1338,1960.04.30,1960,Unprovoked,south africa,Treading water,16,"White shark, 2.1 m [7']  based on tooth pattern",Multiple major injuries,Apr,N,M
1339,1960.04.24,1960,Unprovoked,usa,Skindiving for abalone (but at surface),48,"White shark, 4.9 m [16'] ",Foot & swim fin bitten ,Apr,N,M
1340,1960.04.14,1960,Invalid,bermuda,Floating on a raft,"21, 34,24 & 35",Questionable incident,"No injury, 5 sharks bumped raft",Apr,,M
