,case_number,year,type,country,activity,injury,mes,deceso,genero,especies,edad
426,2008.06.01.a,2008,Unprovoked,brazil,Swimming,"Hand severed, buttocks bitten",Jun,N,M,Bull,14
427,2008.05.24.a,2008,Unprovoked,mexico,Surfing,Lacerations to right forearm and hand,May,N,M,Unspecified,49
428,2008.05.10,2008,Unprovoked,australia,Swimming,Severe lacerations to left leg,May,N,M,White,37
429,2008.05.07.b,2008,Unprovoked,new caledonia,Fishing,Lower legs bitten,May,N,M,Bull,40
430,2008.04.28.b,2008,Unprovoked,mexico,Surfing,FATAL    Severe bite to right thigh,Apr,Y,M,Tiger,24
431,2008.04.28.a,2008,Unprovoked,usa,Surfing,3-inch laceration to dorsal surface of left foot,Apr,N,M,Unspecified,18
432,2008.04.26.b,2008,Unprovoked,new caledonia,Swimming,Lacerations to left foot,Apr,N,M,Bull,32
433,2008.04.25,2008,Unprovoked,usa,Swimming,FATAL,Apr,Y,M,White,66
434,2008.04.18,2008,Invalid,mexico,Swimming,Probable drowning with post-mortem bites,Apr,,M,Unspecified,32
435,2008.04.17,2008,Invalid,australia,Surfing,2 puncture wounds to leg,Apr,,M,Unspecified,19
436,2008.04.15,2008,Unprovoked,usa,Surfing,Puncture wounds to right foot,Apr,N,M,Unspecified,30
437,2008.04.08,2008,Unprovoked,australia,Body boarding,FATAL,Apr,Y,M,Bull,16
438,2008.03.28.b,2008,Unprovoked,usa,Surfing,Foot bitten,Mar,N,M,Unspecified,52
439,2008.03.23,2008,Unprovoked,usa,Walking out of the water after surfing,Three small lacerations/ punctures to right foot,Mar,N,M,Unspecified,13
440,2008.03.15,2008,Unprovoked,usa,Jet skiing,Minor injury,Mar,N,M,Unspecified,8
441,2008.03.07,2008,Unprovoked,usa,Surfing,"No injury to surfer, surfboard bitten by the shark",Mar,N,M,White,27
442,2008.02.24,2008,Unprovoked,bahamas,Diving,"Leg bitten, FATAL",Feb,Y,M,Bull,49
443,2008.01.27,2008,Provoked,australia,Accidentally stood on hooked shark's tail before attempting to gut it ,Laceration to left knee PROVOKED INCIDENT,Jan,N,M,Unspecified,20
444,2007.12.18,2007,Unprovoked,australia,Surfing,Severe lacerations to right buttock,Dec,N,M,Unspecified,31
445,2007.12.14,2007,Invalid,australia,Swimming,Lacerations to left forearm,Dec,,M,Unspecified,34
446,2007.12.10,2007,Unprovoked,usa,Surfing,"No injury, shark bit surfboard ",Dec,N,M,Tiger,52
447,2007.11.07,2007,Unprovoked,south africa,Surfing,Lacerations to feet,Nov,N,M,Unspecified,14
448,2007.11.06,2007,Unprovoked,usa,Surfing,Cut to right knee,Nov,N,M,Unspecified,21
449,2007.11.04,2007,Unprovoked,usa,Surfing,Lacerations to right leg,Nov,N,M,Unspecified,42
450,2007.11.03,2007,Unprovoked,south africa,Surfing,Lacerations to thigh,Nov,N,M,White,37
451,2007.10.29,2007,Unprovoked,usa,Floating,Lacerations to left lower leg,Oct,N,M,Tiger,32
452,2007.10.15,2007,Unprovoked,australia,Surf-skiing,small laceration to wrist,Oct,N,F,White,52
453,2007.10.13,2007,Unprovoked,australia,Spearfishing,Laceration to calf,Oct,N,M,Unspecified,31
454,2007.10.07,2007,Unprovoked,usa,Surfing,4 scratches on left hand,Oct,N,M,Unspecified,22
455,2007.10.06,2007,Unprovoked,usa,Surfing,Severe lacerations to right hand,Oct,N,M,Unspecified,16
456,2007.09.30.a,2007,Unprovoked,new caledonia,Swimming,FATAL,Sep,Y,F,Tiger,23
457,2007.09.28,2007,Unprovoked,bahamas,Spearfishing,Thigh bitten,Sep,N,F,Unspecified,48
458,2007.09.27.a,2007,Unprovoked,egypt,Swimming,"Severe lacerations to lower left leg, ankle and foot",Sep,N,F,White,18
459,2007.09.20,2007,Unprovoked,usa,Surfing,Small lacerations to bottom of right big toe,Sep,N,M,Unspecified,23
460,2007.09.16.a,2007,Unprovoked,usa,Surfing,"No injury, surfboard bitten",Sep,N,F,Unspecified,
461,2007.09.13,2007,Unprovoked,usa,Snorkeling,"Minor injury, shark latched onto his abdomen",Sep,N,M,Unspecified,14
462,2007.09.03.b,2007,Unprovoked,usa,Jumping,Tiny punctures to arm,Sep,N,F,Unspecified,12
463,2007.09.03.a,2007,Unprovoked,usa,Swimming,"3"" laceration to left forearm",Sep,N,M,Unspecified,58
464,2007.08.28.b,2007,Unprovoked,usa,Body boarding,Laceration to right heel,Aug,N,M,Tiger,15
465,2007.08.28.a,2007,Unprovoked,usa,Surfing,Lacerations to thigh & torso,Aug,N,M,White,24
466,2007.08.26,2007,Unprovoked,usa,Surfing,Left hand  bitten,Aug,N,M,Unspecified,54
467,2007.08.25,2007,Unprovoked,usa,Surfing, 6 lacerations to left hand,Aug,N,M,Unspecified,27
